mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text
42	42	125	125	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	599		
42	42	503/4	503/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	600		
42	42	123	123	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	601		
42	42	124	124	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	602		
42	42	125	125	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	603		
43	43	126	126	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	604		
43	43	127	127	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	605		
43	43	511/4	511/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	606		
43	43	128	128	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	607		
43	43	515/4	515/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	608		
43	43	126	126	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	609		
43	43	127	127	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	610		
43	43	511/4	511/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	611		
43	43	128	128	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	612		
43	43	515/4	515/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	613		
43	43	126	126	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	614		
43	43	507/4	507/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	615		
43	43	127	127	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	616		
43	43	128	128	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	617		
43	43	126	126	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	618		
43	43	127	127	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	619		
43	43	128	128	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	620		
44	44	129	129	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	621		
44	44	519/4	519/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	622		
44	44	130	130	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	623		
44	44	131	131	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	624		
44	44	527/4	527/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	625		
44	44	129	129	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	626		
44	44	519/4	519/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	627		
44	44	130	130	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	628		
44	44	523/4	523/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	629		
44	44	131	131	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	630		
44	44	129	129	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	631		
44	44	130	130	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	632		
44	44	523/4	523/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	633		
44	44	131	131	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	634		
44	44	129	129	2.0		0	0	Chord	3/4	2	2	1/2	1/2	1	635		
44	44	131	131	0.75		1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	636		
44	44	527/4	527/4	0.25		11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	637		
45	45	132	132	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	638		
45	45	134	134	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	639		
45	45	132	132	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	640		
45	45	531/4	531/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	641		
45	45	133	133	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	642		
45	45	535/4	535/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	643		
45	45	134	134	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	644		
45	45	539/4	539/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	645		
45	45	132	132	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	646		
46	46	135	135	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	647		
46	46	543/4	543/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	648		
46	46	136	136	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	649		
46	46	547/4	547/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	650		
46	46	137	137	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	651		
46	46	135	135	2.0		0	0	Chord	3/4	1	2	1/2	1/2	1	652		
46	46	137	137	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	653		
46	46	551/4	551/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	654		
46	46	135	135	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	655		
47	47	138	138	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	656		
47	47	555/4	555/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	657		
47	47	139	139	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	658		
47	47	140	140	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	659		
47	47	138	138	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	660		
47	47	139	139	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	661		
47	47	559/4	559/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	662		
47	47	140	140	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	663		
47	47	563/4	563/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	664		
47	47	138	138	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	665		
47	47	139	139	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	666		
47	47	559/4	559/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	667		
47	47	563/4	563/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	668		
47	47	138	138	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	669		
47	47	140	140	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	670		
48	48	141	141	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	671		
48	48	567/4	567/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	672		
48	48	142	142	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	673		
48	48	571/4	571/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	674		
48	48	143	143	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	675		
48	48	141	141	2.0		0	0	Chord	3/4	1	2	1/2	1/2	1	676		
48	48	143	143	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	677		
48	48	575/4	575/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	678		
48	48	141	141	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	679		
48	48	142	142	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	680		
48	48	571/4	571/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	681		
48	48	143	143	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	682		
48	48	141	141	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	683		
48	48	142	142	0.75		1/4	1/4	Chord	3/4	2	2	3/16	1/8	3/2	684		
48	48	571/4	571/4	0.25		7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	685		
48	48	143	143	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	686		
49	49	144	144	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	687		
49	49	579/4	579/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	688		
49	49	145	145	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	689		
49	49	146	146	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	690		
49	49	587/4	587/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	691		
49	49	144	144	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	692		
49	49	145	145	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	693		
49	49	583/4	583/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	694		
49	49	146	146	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	695		
49	49	144	144	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	696		
49	49	145	145	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	697		
49	49	146	146	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	698		
49	49	144	144	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	699		
49	49	145	145	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	700		
49	49	146	146	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	701		
50	50	147	147	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	702		
50	50	148	148	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	703		
50	50	149	149	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	704		
50	50	147	147	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	705		
50	50	591/4	591/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	706		
50	50	148	148	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	707		
50	50	595/4	595/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	708		
50	50	149	149	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	709		
50	50	599/4	599/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	710		
50	50	147	147	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	711		
50	50	148	148	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	712		
50	50	149	149	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	713		
51	51	150	150	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	714		
51	51	151	151	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	715		
51	51	607/4	607/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	716		
51	51	152	152	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	717		
51	51	150	150	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	718		
51	51	603/4	603/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	719		
51	51	151	151	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	720		
51	51	607/4	607/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	721		
51	51	152	152	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	722		
51	51	150	150	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	723		
51	51	603/4	603/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	724		
51	51	151	151	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	725		
51	51	607/4	607/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	726		
51	51	152	152	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	727		
51	51	150	150	2.0		0	0	Chord	3/4	2	2	1/2	1/2	1	728		
51	51	152	152	0.75		1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	729		
51	51	611/4	611/4	0.25		11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	730		
52	52	153	153	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	731		
52	52	615/4	615/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	732		
52	52	154	154	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	733	ornamentTrill	
52	52	311/2	311/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	734		
52	52	623/4	623/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	735		
52	52	153	153	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	736		
52	52	153	153	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	737		
52	52	154	154	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	738		
52	52	155	155	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	739		
53	53	156	156	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	740		
53	53	627/4	627/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	741		
53	53	157	157	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	742		
53	53	631/4	631/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	743		
53	53	158	158	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	744		
53	53	156	156	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	745		
53	53	627/4	627/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	746		
53	53	157	157	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	747		
53	53	631/4	631/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	748		
53	53	158	158	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	749		
53	53	635/4	635/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	750		
53	53	156	156	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	751		
53	53	631/4	631/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	752		
53	53	158	158	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	753		
53	53	631/4	631/4	0.25		7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	754		
53	53	158	158	0.75		1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	755		
53	53	635/4	635/4	0.25		11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	756		
54	54	159	159	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	757		
54	54	639/4	639/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	758		
54	54	321/2	321/2	1.0		3/8	3/8	Chord	3/4	1	1	1/4	1/4	1	759		
54	54	323/2	323/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	760		
54	54	159	159	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	761		
54	54	639/4	639/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	762		
54	54	160	160	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	763		
54	54	161	161	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	764		
54	54	159	159	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	765		
54	54	160	160	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	766		
54	54	161	161	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	767		
55	55		162	0.75	1	0	0	Chord	3/4	1	1	3/16	1/8	3/2	768		
55	55		651/4	0.25	1	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	769		
55	55		163	0.75	1	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	770		
55	55		655/4	0.25	1	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	771		
55	55		164	0.75	1	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	772		
55	55		659/4	0.25	1	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	773		
55	55		162	0.75	1	0	0	Chord	3/4	1	2	3/16	1/8	3/2	774		
55	55		651/4	0.25	1	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	775		
55	55		163	0.75	1	1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	776		
55	55		655/4	0.25	1	7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	777		
55	55		164	0.75	1	1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	778		
55	55		659/4	0.25	1	11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	779		
55	55		162	1.0	1	0	0	Chord	3/4	2	1	1/4	1/4	1	780		
56	56		165	0.75	1	0	0	Chord	3/4	1	1	3/16	1/8	3/2	781		
56	56		663/4	0.25	1	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	782		
56	56		166	0.75	1	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	783		
56	56		667/4	0.25	1	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	784		
56	56		167	0.75	1	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	785		
56	56		671/4	0.25	1	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	786		
56	56		165	0.75	1	0	0	Chord	3/4	1	2	3/16	1/8	3/2	787		
56	56		663/4	0.25	1	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	788		
56	56		166	0.75	1	1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	789		
56	56		667/4	0.25	1	7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	790		
56	56		167	0.75	1	1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	791		
56	56		671/4	0.25	1	11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	792		
57	55	162	168	3.0	2	0	0	Chord	3/4	1	1	3/4	1/2	3/2	793		
57	55	162	168	3.0	2	0	0	Chord	3/4	2	1	3/4	1/2	3/2	794		
